id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
3N,3N-2020-2021,-994.933567207482,-882.324620170545,-838.393169770949,-824.528194283825,-813.161666518726
3N,3N-2021-2022,-85.9895238370371,-64.2381151165642,-54.8958856011639,-9999,-9999
6T,6T-2020-2021,-1034.89311699029,-1014.29141203044,-9999,-968.05489311504,-9999
6T,6T-2021-2022,-1228.76797487416,-1173.96443885424,-888.961223985521,-9999,-9999
6H,6H-2020-2021,-1621.72100365502,-1485.20471128176,-1469.76319375891,-1115.58218006867,-1062.09874317229
7H,7H-2020-2021,-2647.75072116129,-9999,-2212.11051386549,-1942.45286019758,-1900.15198748766
7H,7H-2021-2022,-2222.78658687971,-2081.56821227579,-1854.5171205916,-1744.29919238483,-9999
8H,8H-2020-2021,-1641.82406378632,-1354.95245788561,-1188.51446571058,-9999,-9999
1M,1M-2020-2021,-737.797239232309,-729.505246223997,-480.329381013893,-448.092337211093,-405.237873170675
1M,1M-2021-2022,-395.286066722856,-291.373255953138,-285.188115373,-9999,-9999
2M,2M-2020-2021,-501.539091111924,-420.783712146464,-385.072771649408,-349.821047796917,-9999
2M,2M-2021-2022,-1007.84002382244,-932.207807158645,-832.426530264361,-9999,-9999
3M,3M-2020-2021,-302.703211882727,-226.778443792388,-196.560651969695,-9999,-9999
4N,4N-2020-2021,-661.961093097608,-638.535096392702,-518.901930293446,-9999,-9999
4N,4N-2021-2022,-496.248337968572,-477.897745222685,-430.939860371258,-428.009014734599,-9999
5N,5N-2020-2021,-1307.14257737712,-1297.90857270282,-828.122561802067,-760.522911573429,-751.001074568429
5N,5N-2021-2022,-1305.14898612013,-1287.57145446608,-1132.74015842106,-1118.52703646384,-9999
6N,6N-2020-2021,-1047.77953527482,-1028.10169151233,-9999,-808.377105948845,-9999
6N,6N-2021-2022,-957.400313976341,-925.518080923101,-828.990202237011,-9999,-9999
1T,1T-2020-2021,-2648.4788937267,-9999,-2084.30327501759,-1944.68879129569,-1932.80155499852
1T,1T-2021-2022,-2595.48102332092,-2538.04810674565,-2114.16502117564,-2060.94819312711,-2024.16038396734
8T,8T-2020-2021,-1945.56578061184,-9999,-1270.00630130329,-1233.70653794928,-1203.35900629863
8T,8T-2021-2022,-1550.26930830157,-1300.47846160058,-1295.19807642703,-9999,-9999
5T,5T-2020-2021,-1372.76106087548,-1155.02299915663,-944.142246124277,-9999,-650.082792671756
7T,7T-2020-2021,-2491.01078112236,-9999,-1871.62929957173,-1704.8732052863,-9999
7T,7T-2021-2022,-2630.47711025393,-9999,-1962.10436806783,-9999,-9999
1L,1L-2020-2021,-551.636172395615,-9999,-9999,-9999,-9999
1L,1L-2021-2022,-456.364285213035,-9999,-384.337618708847,-341.958794732251,-327.693020477362
0L,0L-2020-2021,-2398.45855632044,-9999,-1757.5007451389,-1746.62015678248,-1690.17773899405
4T,4T-2020-2021,-2423.09621926214,-2390.34821569379,-1895.57247084925,-1564.35571349673,-1558.74454811961
4T,4T-2021-2022,-2596.42373913792,-9999,-2135.90990647863,-1999.86051130847,-1972.87141556803
2L,2L-2020-2021,-1158.28546423492,-1022.12819525609,-1012.42159319215,-999.312813990197,-9999
3L,3L-2020-2021,-1817.82127420855,-9999,-1167.04842380531,-1147.47929727291,-9999
3L,3L-2021-2022,-1876.50756465671,-1798.65487922231,-978.142345492468,-9999,-906.499626927342
4L,4L-2020-2021,-1670.90477545999,-1607.86202655135,-9999,-9999,-9999
4L,4L-2021-2022,-1790.40865474614,-1727.58067300205,-1145.77854473846,-1132.4031001197,-1058.35101417136
7N,7N-2020-2021,-1258.65593660953,-9999,-1144.27907572098,-937.595054473494,-900.738676933642
7N,7N-2021-2022,-1248.30996371005,-1228.672381531,-906.334242081733,-797.665787943981,-9999
5E,5E-2020-2021,-2484.89393934934,-9999,-1992.96672122529,-9999,-1680.29414607237
5E,5E-2021-2022,-992.467405420073,-806.197961460119,-785.024428632252,-629.61464605873,-587.074012280436
4E,4E-2020-2021,-2046.9202869511,-9999,-1687.39684149384,-1594.49909602148,-1548.18921536788
6L,6L-2020-2021,-1934.09065102488,-1835.31563440622,-1376.4224803105,-1365.29668315001,-9999
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2020-2021,-1008.47699791027,-1003.81083642621,-9999,-9999,-9999
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2021-2022,-6.69938810649502,-9999,-9999,-9999,-9999
5L,5L-2020-2021,-2220.0309729603,-1870.37786492605,-1719.88533308163,-1712.19048399129,-1624.97422085183
5L,5L-2021-2022,-2351.01825469597,-9999,-2277.57254929761,-1704.21167193118,-1620.81946514197
7K,7K-2020-2021,-1067.81038302001,-971.045472881847,-9999,-736.889249336693,-9999
7K,7K-2021-2022,-489.559027219936,-387.71142456872,-352.718068317469,-323.956406024458,-9999
0C,0C-2020-2021,-110.256836801676,-108.568115609758,-9999,-9999,-9999
2C,2C-2020-2021,-738.288137214644,-690.697706411912,-388.246279983215,-352.876656467089,-335.930078369887
2C,2C-2021-2022,-845.529221944897,-801.630257014858,-543.27332712217,-9999,-9999
1C,1C-2020-2021,-2144.49008632518,-9999,-1662.72791871325,-1483.51625704821,-1478.70927256275
1C,1C-2021-2022,-1089.66004602578,-958.351814782208,-952.394815619226,-9999,-9999
3C,3C-2020-2021,-1826.69237213609,-9999,-1387.17329927489,-1271.93260847609,-9999
3C,3C-2021-2022,-2057.99139237819,-2026.2896411895,-1588.60449810544,-1524.82202196546,-1522.32386025554
4C,4C-2020-2021,-1858.78748041646,-1777.64149836679,-1257.26408943659,-1239.83008118647,-9999
4C,4C-2021-2022,-2143.71998903791,-9999,-1413.656906508,-9999,-1261.32978015736
