id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo,six_int_loo,seven_int_loo
NA,NA,NA,NA,NA,NA,NA,NA,NA
7C,7C-2021-2022,-1949.88184023803,-1399.94654548417,-9999,-9999,-9999,-9999,-9999
0T_2nd,0T_2nd-2020-2021,-964.345635110373,-617.476829334061,-532.917095383731,-9999,-9999,-9999,-9999
0T_2nd,0T_2nd-2021-2022,-861.047075897756,-308.854130601289,-9999,-189.78711325035,-9999,-9999,-9999
8C,8C-2020-2021,-2106.29468874129,-9999,-806.712492433374,-9999,-9999,-9999,-9999
8C,8C-2021-2022,-2359.45914385541,-9999,-9999,-9999,-9999,-9999,-9999
4P,4P-2020-2021,-2171.55665399072,-9999,-1707.84532215635,-9999,-9999,-9999,-9999
4P,4P-2021-2022,-2107.20264788119,-9999,-9999,-9999,-9999,-9999,-9999
0P,0P-2020-2021,-2183.21332851003,-9999,-989.991059530434,-9999,-9999,-9999,-9999
0P,0P-2021-2022,-1014.37960495557,-411.570542310065,-9999,-9999,-9999,-9999,-9999
0E_2nd,0E_2nd-2021-2022,23.1087472296448,-9999,-9999,-9999,-9999,-9999,-9999
6L_2nd,6L_2nd-2021-2022,-1881.46873700506,-1207.41662703506,-9999,-9999,-9999,-9999,-9999
9H_2nd,9H_2nd-2021-2022,-2375.05762813992,-9999,-1498.65841003544,-9999,-9999,-9999,-9999
2H_2nd,2H_2nd-2021-2022,-1953.51655950836,-9999,-9999,-9999,-9999,-9999,-9999
9P,9P-2021-2022,-1901.731275643,-9999,-9999,-9999,-9999,-9999,-9999
8N,8N-2021-2022,-1306.66191971852,-9999,-9999,-9999,-9999,-9999,-9999
9N,9N-2021-2022,-2337.22159435551,-1425.14465066127,-9999,-9999,-9999,-9999,-9999
4M,4M-2021-2022,-1206.11483971015,-9999,-9999,-9999,-9999,-9999,-9999
5M,5M-2021-2022,-920.82758402142,-9999,-9999,-327.893625693623,-9999,-9999,-9999
5P,5P-2021-2022,-2355.674894307,-9999,-9999,-9999,-9999,-9999,-9999
6M,6M-2021-2022,-1999.96989627136,-828.816681621304,-713.034005371239,-672.320516954514,-9999,-9999,-9999
7M,7M-2021-2022,-1464.55961773687,-1076.36482383504,-1043.53556585033,-9999,-985.98490009517,-9999,-9999
8M,8M-2021-2022,-694.150706824775,-9999,-9999,-9999,-9999,-9999,-9999
6R_2nd,6R_2nd-2021-2022,-1278.63179235333,-9999,-755.166121984004,-9999,-9999,-9999,-9999
0L_2nd,0L_2nd-2021-2022,-2321.39349531767,-9999,-890.742785638182,-9999,-9999,-9999,-9999
8E_2nd,8E_2nd-2021-2022,-2323.55156137782,-9999,-9999,-9999,-9999,-9999,-9999
7P,7P-2021-2022,-1333.36413799109,-9999,-9999,-9999,-9999,-9999,-9999
8P,8P-2021-2022,-1617.19294439255,-9999,-9999,-9999,-9999,-9999,-9999
9M,9M-2021-2022,-125.699296555444,-9999,-29.7491888309446,-21.563081244638,-9999,-9999,-9999
9C,9C-2021-2022,-1214.69728238358,-912.24239727682,-9999,-9999,-9999,-9999,-9999
0C_2nd,0C_2nd-2021-2022,-1067.19864034591,-958.060529831863,-819.5129769649,-9999,-9999,-9999,-9999
5H_2nd,5H_2nd-2021-2022,-2454.1378143045,-9999,-1319.60549024349,-9999,-9999,-9999,-9999
6P,6P-2021-2022,-1556.86136244528,-9999,-9999,-9999,-9999,-9999,-9999
0N_2nd,0N_2nd-2021-2022,-2229.44988698275,-9999,-9999,-9999,-9999,-9999,-9999
7L,7L-2021-2022,-922.671358980194,-550.199400327168,-9999,-9999,-9999,-9999,-9999
8L,8L-2021-2022,-1405.98227163815,-9999,-554.464347473155,-9999,-9999,-9999,-9999
9L,9L-2021-2022,-865.562382229659,-549.993888172331,-392.123644554148,-9999,-9999,-9999,-9999
