id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
3M,3M-2020-2021,-302.634203128814,-226.809006007733,-196.372374278218,-9999,-9999
4N,4N-2020-2021,-661.955874925979,-638.513783482171,-9999,-9999,-9999
4N,4N-2021-2022,-496.231584982996,-477.697250053176,-431.028600752367,-9999,-9999
5N,5N-2020-2021,-1307.76737406672,-1297.94890685885,-828.172428659087,-760.239404392103,-750.640161628933
5N,5N-2021-2022,-1305.25181654891,-1287.81937788697,-1132.05381663862,-1118.38660644113,-9999
6N,6N-2020-2021,-1047.7193533619,-9999,-9999,-808.471607304012,-9999
6N,6N-2021-2022,-957.580179829969,-925.550916914014,-828.368385977266,-757.306251281858,-743.382804114222
1T,1T-2020-2021,-2648.42006607524,-9999,-2084.36462352803,-1944.54446671174,-1930.43212883517
1T,1T-2021-2022,-2595.42084068181,-2538.0337360711,-2113.4336963886,-2060.94976736412,-2023.73898693143
8T,8T-2020-2021,-1945.57158883152,-1880.67334241835,-1269.91564524417,-9999,-1203.02246436227
8T,8T-2021-2022,-1550.23627818424,-1300.1056679625,-9999,-9999,-9999
5T,5T-2020-2021,-1372.78801819981,-1154.18580979811,-944.07841490678,-9999,-642.766914484059
7T,7T-2020-2021,-2491.03478718137,-2427.20061556568,-1871.70626802209,-1704.42440218445,-9999
7T,7T-2021-2022,-2630.39208545245,-9999,-1961.88688708467,-1955.31614153169,-9999
1L,1L-2020-2021,-551.539339651432,-9999,-9999,-9999,-9999
1L,1L-2021-2022,-456.389913404349,-9999,-384.288346228474,-9999,-9999
0L,0L-2020-2021,-2398.45896753541,-9999,-1757.61273227254,-1746.46591979326,-1682.78871252858
4T,4T-2020-2021,-2423.12487502132,-9999,-1895.56933024108,-1564.27824768233,-1552.43046255736
4T,4T-2021-2022,-2596.45609592686,-9999,-2135.05809293235,-1999.6573587165,-1972.10039450468
2L,2L-2020-2021,-1158.28198655572,-1021.55699396022,-1012.04463512693,-999.871980117173,-880.007365140314
