id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo,six_int_loo,seven_int_loo
NA,NA,NA,NA,NA,NA,NA,NA,NA
3T,3T-2020-2021,-1811.96949018585,-9999,-1540.25428806031,-9999,-9999,-9999,-9999
3T,3T-2021-2022,-1826.77048268392,-1579.23259241756,-9999,-1533.45326944026,-9999,-1409.71160043623,-9999
1N,1N-2020-2021,-586.325904701732,-560.014592282545,-514.185780190635,-9999,-9999,-9999,-9999
1N,1N-2021-2022,-434.475048628558,-352.453164299786,-9999,-332.403604485225,-9999,-9999,-9999
2N,2N-2020-2021,-407.841788968497,-392.223035523254,-293.308882771639,-280.01990752675,-274.214441300196,-9999,-9999
3N,3N-2020-2021,-994.936072030906,-882.252539387147,-838.467154707395,-824.586587888015,-812.701153841938,-9999,-9999
3N,3N-2021-2022,-86.0158365793199,-66.1550899307266,-9999,-9999,-9999,-9999,-9999
6T,6T-2020-2021,-1034.89648357813,-1014.34782332938,-9999,-967.740442929168,-9999,-9999,-9999
6T,6T-2021-2022,-1228.7353804877,-1173.94177771459,-889.10241102996,-836.959953008245,-796.816449540669,-9999,-9999
6H,6H-2020-2021,-1621.7048728347,-1485.34907010854,-1469.75666636905,-1116.04358963084,-1062.26066973427,-9999,-9999
7H,7H-2020-2021,-2647.74283855161,-2595.84048615028,-2212.19987480458,-1942.01083139492,-1899.79392291168,-9999,-9999
7H,7H-2021-2022,-2222.79033151915,-2081.56769550695,-1791.09010471403,-1744.35305260692,-1639.36548248708,-9999,-9999
8H,8H-2020-2021,-1641.82067778198,-1355.07765130921,-1188.5975763832,-9999,-9999,-9999,-9999
1M,1M-2020-2021,-738.407760721619,-9999,-480.262338955458,-9999,-405.225363525588,-9999,-9999
1M,1M-2021-2022,-395.275022615014,-291.420325705925,-285.115255805671,-9999,-9999,-9999,-9999
2M,2M-2020-2021,-501.55639840589,-422.003939672263,-9999,-9999,-9999,-305.508856606576,-9999
2M,2M-2021-2022,-1007.84114890838,-932.411047544722,-832.005869233703,-9999,-9999,-644.822009014512,-9999
3M,3M-2020-2021,-302.681598669935,-226.775212738644,-196.773633786561,-9999,-9999,-9999,-9999
4N,4N-2020-2021,-661.966839951024,-638.573653740302,-9999,-9999,-9999,-9999,-9999
4N,4N-2021-2022,-496.23247246225,-470.163373803792,-431.050266760799,-9999,-9999,-9999,-9999
5N,5N-2020-2021,-1307.21130550199,-1297.96828785028,-828.054862865555,-760.348524651176,-9999,-9999,-9999
5N,5N-2021-2022,-1305.42729661966,-1287.56324313541,-9999,-1118.48489649099,-1021.05057495116,-9999,-9999
6N,6N-2020-2021,-1047.71146670339,-9999,-9999,-905.459709901797,-753.898860001345,-9999,-9999
6N,6N-2021-2022,-957.323105695457,-925.546576429037,-829.038499481591,-758.017400794413,-743.869753231107,-739.326108431902,-9999
1T,1T-2020-2021,-2648.45505045524,-9999,-2084.30600796945,-1945.04193098057,-1933.51755479248,-9999,-9999
1T,1T-2021-2022,-2595.47484798894,-2538.06888943307,-2113.9610180596,-2060.86707474816,-2024.12605240433,-1949.57267012118,-9999
8T,8T-2020-2021,-1945.55509525241,-9999,-1269.93864169531,-9999,-9999,-9999,-1096.48296700589
8T,8T-2021-2022,-1550.24571783744,-1300.29255466543,-9999,-9999,-9999,-9999,-9999
5T,5T-2020-2021,-1372.78032248826,-1154.82312802651,-944.149111557699,-9999,-650.081343602244,-9999,-551.060512002016
7T,7T-2020-2021,-2491.01263116065,-9999,-1871.64707470926,-1705.72529139161,-9999,-9999,-9999
7T,7T-2021-2022,-2630.48260212859,-9999,-1962.0021556917,-9999,-9999,-9999,-9999
1L,1L-2020-2021,-551.700480880915,-500.826296034794,-9999,-9999,-9999,-9999,-9999
1L,1L-2021-2022,-456.396164800274,-9999,-384.288874748813,-9999,-9999,-9999,-9999
0L,0L-2020-2021,-2398.43952009486,-2354.13051550797,-1757.46167112923,-1746.59663780851,-1683.09584907249,-9999,-9999
4T,4T-2020-2021,-2423.10360473005,-9999,-1895.50687999108,-1567.8357266561,-1555.90849851899,-9999,-9999
4T,4T-2021-2022,-2596.41077939879,-9999,-2136.36008907559,-1999.96929904048,-1973.86502268799,-1960.20268915965,-9999
2L,2L-2020-2021,-1158.28478038481,-1021.94398699507,-1012.46527073736,-999.201031719148,-9999,-853.237360328343,-9999
3L,3L-2020-2021,-1817.84011486098,-9999,-1165.94396219462,-9999,-1028.32477616654,-9999,-936.979382635542
3L,3L-2021-2022,-1876.50917568154,-1798.64337099057,-978.350014840431,-9999,-906.193596257857,-9999,-9999
4L,4L-2020-2021,-1670.88671822022,-9999,-1213.78935015476,-9999,-9999,-9999,-9999
4L,4L-2021-2022,-1790.41719749131,-1727.5916276762,-1145.97337096786,-1132.63644203403,-1057.99785420575,-888.530824841076,-854.221722009095
7N,7N-2020-2021,-1258.57191930063,-9999,-9999,-937.706918084689,-901.547987351463,-9999,-9999
7N,7N-2021-2022,-1248.24235597147,-1228.72389712107,-906.164381040018,-797.463254199202,-792.629192495878,-753.076423456567,-9999
5E,5E-2020-2021,-2484.89521021727,-9999,-1992.95513153219,-1898.46892348108,-1680.66886046588,-9999,-9999
5E,5E-2021-2022,-992.547748218866,-805.930477261597,-780.149772368369,-629.902237415491,-9999,-584.020580451347,-571.294442088587
4E,4E-2020-2021,-2046.9077429824,-9999,-1687.39220859611,-1594.16058298378,-1547.77663111821,-9999,-9999
6L,6L-2020-2021,-1934.06784379658,-1835.32151628105,-1376.67457498556,-9999,-1340.80315103268,-9999,-9999
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2020-2021,-1008.04033067385,-1003.26705309737,-9999,-9999,-9999,-9999,-9999
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2021-2022,-6.73130432607533,-9999,-9999,-9999,-9999,-9999,-9999
5L,5L-2020-2021,-2220.06666672428,-1870.4666166825,-1719.95144835789,-1711.32030928557,-1625.7344913231,-1570.75093669347,-1513.06585947253
5L,5L-2021-2022,-2351.01061372029,-9999,-2277.59815737482,-1704.10618388267,-1620.40321371267,-1602.79890626525,-9999
7K,7K-2020-2021,-1067.82600227092,-971.036084341461,-9999,-736.866237570423,-9999,-9999,-9999
7K,7K-2021-2022,-489.564652873763,-387.07592278108,-352.752107153237,-323.88682594782,-9999,-9999,-9999
0C,0C-2020-2021,-110.258599935664,-108.612790509493,-105.056970030412,-9999,-9999,-9999,-9999
2C,2C-2020-2021,-738.314876268736,-9999,-388.609442615103,-352.542291183873,-335.367645832769,-9999,-9999
2C,2C-2021-2022,-845.554084663692,-801.627751829839,-543.298221099434,-9999,-9999,-458.131764400559,-9999
1C,1C-2020-2021,-2144.43881347053,-2113.82519904713,-1662.76531037958,-1482.91984935073,-1478.42734286987,-1427.46960019469,-9999
1C,1C-2021-2022,-1089.65185473032,-958.28354409499,-9999,-9999,-9999,-9999,-9999
3C,3C-2020-2021,-1826.69233486797,-1803.82944824488,-1387.18918401636,-1272.35186399292,-9999,-9999,-9999
3C,3C-2021-2022,-2057.96844603721,-2026.23459615643,-1588.56636761096,-1524.7644870554,-1522.95709126055,-9999,-1453.83434290487
4C,4C-2020-2021,-1858.78112831485,-9999,-1257.31179851343,-9999,-1233.84662300173,-1180.73684776102,-9999
4C,4C-2021-2022,-2143.69460029417,-9999,-1413.64166263092,-9999,-9999,-9999,-9999
9H,9H-2020-2021,-1253.02780087535,-1100.85693168116,-801.580523490168,-732.323580946357,-677.809557653262,-9999,-9999
5C,5C-2020-2021,-1997.41061943977,-9999,-1677.90026526609,-1497.30033996294,-1271.82194424662,-1256.24408859783,-1231.51236170214
5C,5C-2021-2022,-1748.0599163359,-1712.25035425826,-1033.95349329786,-9999,-9999,-926.150245530887,-9999
2P,2P-2020-2021,-1901.2586575527,-9999,-1327.05200831073,-1300.22796824976,-1223.25776375814,-1191.89497855881,-9999
3P,3P-2020-2021,-2193.81731305612,-2160.06730161945,-1524.40641373671,-1493.43627857955,-1378.77765811165,-9999,-9999
